𛀹	Ko.Ko
𛀻	Ko.Ko
𛀺	Ko.Ko
𛀼	Sa.Sa
𛀽	Sa.Sa
𛀾	Sa.Sa
𛀿	Sa.Sa
𛁀	Sa.Sa
𛁁	Sa.Sa
𛁂	Sa.Sa
𛁃	Sa.Sa
𛁄	Si.Si
𛁅	Si.Si
𛁆	Si.Si
𛁇	Si.Si
𛁈	Si.Si
𛁉	Si.Si
𛁊	Su.Su
𛁋	Su.Su
𛁌	Su.Su
𛁍	Su.Su
𛁎	Su.Su
𛁏	Su.Su
𛁐	Su.Su
𛁑	Su.Su
𛁒	Se.Se
𛁓	Se.Se
𛁔	Se.Se
𛁕	Se.Se
𛁖	Se.Se
𛁗	So.So
𛁘	So.So
𛁙	So.So
𛁚	So.So
𛁛	So.So
𛁜	So.So
𛁝	So.So
𛁞	Ta.Ta
𛁟	Ta.Ta
𛁠	Ta.Ta
𛁡	Ta.Ta
𛁢	Ti.Ti
𛁣	Ti.Ti
𛁤	Ti.Ti
𛁥	Ti.Ti
𛁦	Ti.Ti
𛁧	Ti.Ti
𛁨	Ti.Ti
𛁩	Tu.Tu
𛁪	Tu.Tu
𛁫	Tu.Tu
𛁬	Tu.Tu
𛁭	Tu.Tu
𛁮	Te.Te
𛁯	Te.Te
𛁰	Te.Te
𛁱	Te.Te
𛁲	Te.Te
𛁳	Te.Te
𛁴	Te.Te
𛁵	Te.Te
𛁶	Te.Te
𛂎	Te.Te
𛁷	To.To
𛁸	To.To
𛁹	To.To
𛁺	To.To
𛁻	To.To
𛁼	To.To
𛁽	To.To
𛁭	To.To
𛁾	Na.Na
𛁿	Na.Na
𛂀	Na.Na
𛂁	Na.Na
𛂂	Na.Na
𛂃	Na.Na
𛂄	Na.Na
𛂅	Na.Na
𛂆	Na.Na
𛂇	Ni.Ni
𛂈	Ni.Ni
𛂉	Ni.Ni
𛂊	Ni.Ni
𛂋	Ni.Ni
𛂌	Ni.Ni
𛂍	Ni.Ni
𛂎	Ni.Ni
𛂏	Nu.Nu
𛂐	Nu.Nu
𛂑	Nu.Nu
𛂒	Ne.Ne
𛂓	Ne.Ne
𛂔	Ne.Ne
𛂕	Ne.Ne
𛂖	Ne.Ne
𛂗	Ne.Ne
𛂘	Ne.Ne
